TITLE: ;Bill of Materials;
DATE: ;07/07/2026   14:44
DESIGN: ;TestDesign
Variant: ;
ROOM;PART_NUMBER;Qty;Ref Des;DESCRIPTION;PKGS;STATUS;VALUE;
eBB000959_02;B000021351;1;051405C1;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B000021351;1;051405C12;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B000021351;1;051405C13;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B000021351;1;051405C2;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B103281;1;051405C5;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B103281;1;051405C6;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B103281;1;051405C7;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B103281;1;051405C8;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B103281;1;051405C9;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B000032977;1;051405D1;DIOD TVS BI 15V/24V 160W SOD323;SOD323;Allowed;PESD1LIN;
eBB000959_02;B000032977;1;051405D2;DIOD TVS BI 15V/24V 160W SOD323;SOD323;Allowed;PESD1LIN;
eBB000959_02;B000021843;1;051405D3;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000021843;1;051405D4;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000021843;1;051405D5;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000021843;1;051405D6;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000032521;1;051405FL1;FL CAN 51uH ACT45B;EMC;Allowed;51uH;
eBB000959_02;B000028822;1;051405R1;RC 5.6K 1% 100mW TF 0603;0603;Allowed;5.6K;
eBB000959_02;B000028822;1;051405R2;RC 5.6K 1% 100mW TF 0603;0603;Allowed;5.6K;
eBB000959_02;B000026605;1;051405R3;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
eBB000959_02;B000026605;1;051405R4;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
